ROUTE,AVERAGE_CO2_PER_PERSON_TONNES,AVERAGE_CO2_PER_PERSON_KG,AVERAGE_CO2_TONNES,FLIGHT_COUNT
BMA-KLR,0.027621806298276895,27.621806298276894,1.6904545454545454,11
AAZ-GUA,0.02761437908496732,27.614379084967318,0.2816666666666667,3
SAL-XPL,0.02758169934640523,27.58169934640523,4.22,8
FDH-FKB,0.0275692499221911,27.569249922191098,4.429,2
HUN-RMQ,0.02753781512605042,27.537815126050422,1.6385,2
EMN-KFA,0.027529411764705886,27.529411764705884,3.744,1
PSG-WRG,0.02752182163187856,27.52182163187856,2.451,6
MJN-TNR,0.027518279106514398,27.5182791065144,1.6825,6
IMF-IXA,0.027517394054395954,27.517394054395954,4.3505,2
BKI-LDU,0.027517301038062287,27.517301038062286,1.5905,10
LIO-SJO,0.027483660130718957,27.483660130718956,0.2803333333333333,9
RAS-THR,0.027469824293353706,27.469824293353707,1.584,4
ALC-IBZ,0.027451969631620273,27.451969631620273,2.3878333333333335,6
FLL-NSB,0.027450980392156873,27.450980392156872,0.21,16
DYU-LBD,0.02744226579520697,27.44226579520697,4.4086,5
JIK-LXS,0.02743464052287582,27.434640522875817,1.679,2
CCV-VLI,0.02741830065359477,27.418300653594773,0.4195,2
IMF-SHL,0.027413273001508295,27.413273001508294,1.8175,2
QRO-TLC,0.02741176470588235,27.41176470588235,1.165,2
LKO-VNS,0.027368024132730016,27.368024132730017,1.8145,2
KLU-VIE,0.027359477124183008,27.35947712418301,1.932,11
LNE-VLI,0.027352941176470587,27.352941176470587,1.6275,2
YQC-YWB,0.02734640522875817,27.34640522875817,1.046,1
BEG-INI,0.027343537414965986,27.343537414965986,2.4502857142857146,7
LDX-MPY,0.027306501547987617,27.30650154798762,0.441,1
KBR-PEN,0.027303921568627453,27.30392156862745,1.671,4
BKO-BOY,0.02728818586258033,27.28818586258033,2.3160000000000003,3
OAG-SYD,0.027278718787992144,27.278718787992144,1.28935,20
PNL-TPS,0.02727621483375959,27.27621483375959,1.0665,4
BBI-JRG,0.027260504201680674,27.260504201680675,1.622,1
BLR-SXV,0.027257703081232498,27.2577030812325,1.7095,4
IMF-IXS,0.027254901960784315,27.254901960784316,1.6216666666666668,3
HID-OKR,0.02723311546840959,27.23311546840959,0.20833333333333334,3
AJR-VHM,0.027223529411764705,27.223529411764705,1.157,1
PNH-SAI,0.027209460628736516,27.209460628736515,2.5895454545454544,11
ELI-OME,0.02718954248366013,27.18954248366013,0.208,2
BKI-MZV,0.027179930795847754,27.179930795847753,1.571,2
HDK-MLE,0.027148459383753498,27.148459383753497,1.2578333333333334,6
KIS-OLG,0.02714596949891068,27.14596949891068,0.41533333333333333,3
HKT-USM,0.0271129442602729,27.1129442602729,1.6132201834862385,109
RIX-TLL,0.027106518282988875,27.106518282988876,3.41,24
ATH-MJT,0.027102699104333095,27.102699104333094,1.6288888888888888,27
ATQ-KUU,0.027084033613445378,27.084033613445378,1.6115,2
EWE-TIM,0.02707563025210084,27.07563025210084,1.611,2
CEB-DPL,0.027066365007541476,27.066365007541478,1.7945,6
MOQ-TNR,0.027061696473461173,27.061696473461172,1.6553333333333333,6
MRU-ZSE,0.027045454545454546,27.045454545454547,3.0345,2
DJE-TUN,0.027042483660130723,27.042483660130724,1.655,6
KIS-WIL,0.0270287590758179,27.0287590758179,1.044086956521739,23
SON-VLI,0.027025210084033618,27.025210084033617,1.6079999999999999,6
ANF-CJC,0.027006302521008406,27.006302521008404,5.142,1
YGR-YQY,0.02698961937716263,26.98961937716263,0.78,2
BNE-WTB,0.02698961937716263,26.98961937716263,0.78,1
LUN-NLA,0.02697886604135067,26.97886604135067,1.3372142857142857,28
DMK-MAQ,0.026971677559912855,26.971677559912855,4.332999999999999,12
AYT-DLM,0.026971677559912855,26.971677559912855,4.333,1
ADD-GOB,0.02696078431372549,26.96078431372549,1.7875,4
KCH-MKM,0.026947732653432893,26.947732653432894,1.0976666666666668,6
BGO-FRO,0.026923076923076928,26.923076923076927,0.8925,22
DZA-MJN,0.02692095588235294,26.920955882352942,1.4645000000000001,8
CYB-GCM,0.026915814721610573,26.915814721610573,1.286090909090909,11
KNS-MEB,0.026904024767801862,26.90402476780186,0.4345,8
FPO-NAS,0.026899874890667728,26.89987489066773,1.3923043478260868,23
NYT-RGN,0.026840157631680125,26.840157631680125,1.585375,8
YEK-YRT,0.026826730692276913,26.826730692276914,0.9577142857142859,7
BPN-GHS,0.02680672268907563,26.80672268907563,1.5950000000000002,2
RIX-VNO,0.026788553259141493,26.788553259141494,3.37,26
DUB-KIR,0.0267849361967009,26.7849361967009,4.303,4
BOG-VVC,0.026776221599751016,26.776221599751015,2.4263333333333335,12
FSC-NCE,0.02676470588235294,26.764705882352942,1.638,8
PNK-SQG,0.02676470588235294,26.764705882352942,1.5924999999999998,2
INV-SYY,0.026762996865412825,26.762996865412827,1.1060833333333333,12
ORG-SMZ,0.026749226006191954,26.749226006191954,0.432,1
DRJ-ORG,0.026749226006191954,26.749226006191954,0.432,1
IMK-KEP,0.026749226006191954,26.749226006191954,0.432,2
DPS-SWQ,0.026714285714285715,26.714285714285715,1.5895000000000001,2
EXT-MAN,0.026691176470588236,26.691176470588236,1.6335,6
HEL-JYV,0.026671280276816606,26.671280276816606,1.5416,5
BHX-IOM,0.02665849673202615,26.658496732026148,1.6315,6
BWA-KTM,0.026654338779203656,26.654338779203655,1.3547142857142858,56
HIR-VAO,0.026647058823529413,26.647058823529413,0.453,2
HIR-RNA,0.026647058823529413,26.647058823529413,0.453,1
SKD-TAS,0.026603774013376092,26.603774013376093,2.734666666666667,12
GRX-MLN,0.026593137254901963,26.593137254901965,1.6275000000000002,6
ANX-TOS,0.02658009049773756,26.58009049773756,0.971,2
HYD-VDY,0.026571428571428572,26.571428571428573,1.581,2
DEL-PGH,0.0265599008834303,26.5599008834303,1.71075,8
PGU-SYZ,0.02654044117647059,26.54044117647059,3.6455,6
BHU-BOM,0.026534439416792358,26.534439416792356,1.8904999999999998,4
RAI-VXE,0.026518229428523544,26.518229428523544,1.7770833333333333,12
ATH-KZI,0.02650326797385621,26.50326797385621,1.622,1
AEY-VPN,0.0265015479876161,26.5015479876161,0.428,1
AES-BGO,0.026489980607627677,26.489980607627675,1.6846666666666668,21
BDO-CJN,0.026470588235294117,26.470588235294116,0.18,2
ABU-KOE,0.02646218487394958,26.462184873949578,1.5745,4
DHM-IXC,0.02643288084464555,26.43288084464555,1.7525,2
FAU-OMM,0.026431372549019606,26.431372549019606,4.044,5
CTS-WKJ,0.026422893481717016,26.422893481717015,1.662,4
BRS-GCI,0.026421568627450983,26.421568627450984,1.617,1
MDE-PEI,0.026401746627729098,26.401746627729096,4.12096,25
EUN-LPA,0.02640120104645632,26.401201046456322,2.2045,8
LXR-RMF,0.026382036685642003,26.382036685642003,4.171,2
DEX-DJJ,0.026368286445012788,26.36828644501279,1.031,2
BRS-JER,0.026355269951117706,26.355269951117705,1.5725,20
STR-ZRH,0.02633610123198087,26.33610123198087,3.3920833333333333,12
LBP-MYY,0.026315789473684216,26.315789473684216,0.42500000000000004,2
